Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
5186,2113,0.001,156,0,23,7,7.506,2.3,0,0.261,0,0.002,0.014,0,0.23,0.129,0.124,0.029,0,0.099,0.001,0.002,0.005
21220,10340,0,1284,0,67,17,17.62,6.137,0,0.285,0,0.001,0.005,0,0.094,0.052,0.049,0.017,0,0.013,0,0,0
1122,662,0.002,225,0,29,10,9.821,3.687,0,0.408,0.002,0.007,0.024,0,0.155,0.073,0.062,0.038,0.001,0.048,0.004,0.005,0.003
11478,5534,0,915,0,48,11,12.084,4.412,0,0.275,0,0.001,0.007,0,0.149,0.075,0.066,0.029,0,0.037,0,0,0.001
1198,707,0.002,157,0,32,12,12.478,4.58,0,0.352,0.004,0.011,0.023,0,0.12,0.067,0.058,0.03,0,0.036,0.004,0.004,0.002
440,247,0.007,94,0,21,8,8.453,3.666,0,0.194,0.004,0.015,0.028,0,0.165,0.075,0.061,0.039,0,0.065,0.012,0.014,0.008
1744,804,0.002,45,0,36,13,13.2,6.31,0,0.324,0.003,0.013,0.036,0,0.158,0.075,0.073,0.023,0,0.087,0.004,0.005,0.006
3210,1549,0.001,197,0,37,12,12.028,4.446,0,0.248,0.001,0.006,0.016,0,0.134,0.076,0.074,0.023,0,0.045,0.001,0.002,0.002
578,305,0.006,69,0,28,10,10.037,4.41,0,0.291,0.006,0.02,0.036,0,0.132,0.081,0.069,0.035,0,0.18,0.013,0.012,0.014
4021,2068,0,182,0,31,11,10.992,3.437,0,0.283,0.001,0.004,0.014,0,0.151,0.086,0.083,0.02,0,0.028,0.001,0.001,0.001
1456,803,0.002,113,0,35,12,11.5,1.501,0,0.389,0.004,0.012,0.025,0,0.141,0.069,0.068,0.027,0,0.066,0.003,0.004,0.003
2150,1080,0.001,156,0,38,11,10.598,1.372,0,0.433,0.002,0.008,0.024,0,0.155,0.076,0.072,0.026,0,0.083,0.002,0.003,0.004
123,81,0.018,26,0,21,6,5.32,1.454,0,0.123,0.022,0.04,0.039,0,0.162,0.095,0.081,0.048,0,0.062,0.037,0.037,0.012
6195,3198,0,549,0,39,12,12.066,3.896,0,0.312,0.001,0.002,0.011,0,0.162,0.072,0.068,0.025,0,0.039,0,0.001,0.001
7427,3356,0,284,0,36,9,9.15,2.863,0,0.267,0,0.002,0.011,0,0.187,0.107,0.102,0.028,0,0.049,0.001,0.001,0.002
255,177,0.008,80,0,28,10,10.294,6.3,0,0.08,0.002,0.013,0.022,0,0.09,0.027,0.028,0.016,0,0.051,0.017,0.016,0.006
3868,1984,0,155,0,39,10,10.44,4.144,0,0.452,0.001,0.004,0.017,0,0.2,0.094,0.091,0.036,0,0.074,0.001,0.001,0.003
3669,1624,0.001,214,0,46,8,9.014,3.802,0,0.315,0.001,0.004,0.016,0,0.179,0.102,0.096,0.032,0,0.099,0.002,0.002,0.005
4135,1836,0.001,97,0,24,9,8.563,0.38,0,0.456,0.001,0.004,0.016,0,0.199,0.107,0.107,0.022,0,0.074,0.002,0.002,0.003
1938,1023,0.001,372,0,35,12,12.387,4.958,0,0.152,0,0.004,0.011,0,0.079,0.043,0.036,0.021,0,0.067,0.002,0.003,0.003
