Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
2462,1245,0.001,167,0,42,11,10.909,3.871,0,0.19,0.002,0.006,0.014,0,0.131,0.082,0.074,0.026,0,0.028,0.002,0.003,0.002
507,334,0.004,149,0,34,12,11.723,5.319,0,0.148,0.002,0.014,0.024,0,0.084,0.051,0.04,0.024,0,0.027,0.009,0.009,0.004
1220,726,0.002,173,0,33,12,12.49,4.6,0,0.334,0.004,0.01,0.022,0,0.117,0.065,0.055,0.03,0,0.035,0.004,0.004,0.002
1084,626,0.002,157,0,48,16,16.431,7.73,0,0.227,0.004,0.016,0.026,0,0.122,0.043,0.043,0.023,0,0.033,0.004,0.005,0.003
11772,5605,0,981,0,41,12,12.009,4.179,0,0.264,0,0.001,0.007,0,0.147,0.074,0.066,0.028,0,0.037,0,0,0.001
4560,2348,0,232,0,43,13,13.094,5.004,0,0.39,0.001,0.004,0.016,0,0.166,0.07,0.07,0.028,0,0.046,0.001,0.001,0.002
1975,1018,0.001,93,0,41,12,12.354,5.079,0,0.231,0.003,0.009,0.02,0,0.13,0.076,0.07,0.026,0,0.051,0.002,0.003,0.003
1382,834,0.001,281,0,37,13,13.196,5.177,0,0.265,0.001,0.008,0.02,0,0.105,0.056,0.047,0.028,0,0.04,0.003,0.003,0.002
437,262,0.006,128,0,36,12,12.988,7.747,0,0.152,0.002,0.017,0.031,0,0.092,0.032,0.032,0.018,0,0.068,0.011,0.012,0.007
510,315,0.005,144,0,23,9,8.872,4.191,0,0.108,0.001,0.006,0.013,0,0.101,0.036,0.029,0.021,0,0.044,0.009,0.01,0.004
5336,2802,0,325,0,35,12,11.643,3.577,0,0.463,0.001,0.003,0.014,0,0.148,0.079,0.076,0.028,0,0.04,0.001,0.001,0.001
313,207,0.007,104,0,31,9,10.684,7.398,0,0.071,0.001,0.009,0.018,0,0.107,0.024,0.023,0.013,0,0.058,0.014,0.014,0.006
2749,1462,0.001,304,0,34,12,12.417,4.239,0,0.158,0.002,0.005,0.012,0,0.112,0.068,0.059,0.029,0,0.031,0.002,0.002,0.002
251,181,0.007,140,0,22,5,6.107,4.111,0,0.022,0,0.003,0.005,0,0.097,0.018,0.019,0.014,0,0.055,0.016,0.015,0.007
4409,1917,0.001,105,0,21,9,8.846,2.598,0,0.409,0.001,0.003,0.015,0,0.194,0.108,0.106,0.023,0,0.073,0.002,0.002,0.003
596,320,0.005,81,0,28,10,10.045,4.422,0,0.265,0.004,0.017,0.032,0,0.126,0.076,0.063,0.035,0,0.172,0.009,0.011,0.013
1527,876,0.001,382,0,36,12,12.018,5.171,0,0.251,0.001,0.006,0.017,0,0.125,0.049,0.046,0.031,0,0.072,0.003,0.003,0.003
376,229,0.007,91,0,21,9,8.626,3.49,0,0.165,0.006,0.017,0.026,0,0.129,0.077,0.061,0.036,0,0.052,0.013,0.014,0.007
255,172,0.008,111,0,21,7,6.895,3.807,0,0.098,0.002,0.007,0.014,0,0.099,0.024,0.033,0.025,0,0.064,0.017,0.017,0.009
1574,832,0.002,183,0,29,11,10.708,4.053,0,0.295,0.002,0.008,0.022,0,0.152,0.075,0.072,0.028,0,0.061,0.003,0.004,0.004
9678,3488,0,113,0,36,10,10.066,3.54,0,0.255,0,0.002,0.011,0,0.194,0.104,0.1,0.026,0,0.055,0.001,0.001,0.003
1173,651,0.002,209,0,40,12,12.686,5.675,0,0.124,0.003,0.01,0.017,0,0.126,0.057,0.047,0.026,0,0.035,0.004,0.005,0.003
19395,9131,0,631,0,39,12,12.318,3.852,0,0.269,0,0.001,0.006,0,0.152,0.08,0.077,0.023,0,0.037,0,0,0
186,117,0.013,59,0,13,5,4.982,2.377,0,0.204,0.002,0.01,0.028,0,0.2,0.065,0.058,0.044,0,0.181,0.025,0.027,0.022
5204,2128,0.001,168,0,23,7,7.506,2.3,0,0.258,0,0.002,0.014,0,0.229,0.127,0.123,0.03,0,0.098,0.001,0.002,0.005
424,264,0.006,98,0,37,11,12.392,6.962,0,0.282,0.004,0.02,0.038,0,0.126,0.042,0.043,0.03,0,0.068,0.011,0.012,0.006
364,204,0.008,46,0,20,8,8.129,3.501,0,0.204,0.011,0.021,0.029,0,0.167,0.089,0.079,0.042,0,0.073,0.014,0.017,0.01
420,283,0.005,135,0,31,11,11.469,5.804,0,0.092,0.002,0.011,0.019,0,0.077,0.029,0.03,0.021,0,0.031,0.01,0.01,0.004
5616,2518,0,301,0,32,10,10.102,3.215,0,0.331,0,0.003,0.012,0,0.156,0.093,0.087,0.027,0,0.054,0.001,0.001,0.002
28125,11123,0,578,0,53,11,11.779,4.164,0,0.318,0,0,0.006,0,0.163,0.086,0.084,0.025,0,0.038,0,0,0.001
3133,1431,0.001,234,0,42,9,9.88,4.166,0,0.223,0.001,0.004,0.015,0,0.15,0.083,0.075,0.031,0,0.075,0.002,0.003,0.004
734,412,0.004,61,0,30,11,10.932,4.587,0,0.46,0.006,0.018,0.041,0,0.135,0.08,0.072,0.03,0,0.058,0.007,0.008,0.005
454,280,0.005,95,0,32,10,11.162,5.61,0,0.149,0.008,0.017,0.025,0,0.166,0.043,0.047,0.032,0,0.046,0.01,0.011,0.005
414,243,0.007,103,0,29,7,9.024,6.123,0,0.053,0.001,0.007,0.012,0,0.089,0.023,0.028,0.02,0,0.066,0.012,0.014,0.007
491,297,0.005,168,0,44,11,11.906,7.123,0,0.119,0.002,0.011,0.019,0,0.08,0.019,0.029,0.023,0,0.06,0.01,0.011,0.006
