Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
7546,3587,0,269,0,229,11,19.745,9.073,0,0.451,0,0.005,0.015,0,0.164,0.084,0.077,0.033,0,0.067,0,0.001,0.002
9637,4304,0,213,0,47,11,12.072,4.753,0,0.349,0,0.002,0.009,0,0.135,0.087,0.082,0.022,0,0.064,0,0.001,0.001
9270,3627,0,139,0,222,9,19.185,34.519,0,0.385,0,0.004,0.015,0,0.173,0.108,0.097,0.039,0,0.056,0.001,0.001,0.002
11871,5765,0,1119,0,63,16,17.014,7.628,0,0.176,0,0.002,0.007,0,0.133,0.051,0.047,0.02,0,0.042,0,0,0.001
58,80,0.009,80,0,39,10,11.906,9.726,0,0.061,0.001,0.02,0.024,0,0.024,0.02,0.014,0.01,0,0.05,0.025,0.018,0.011
12718,6150,0,483,0,253,13,24.427,39.927,0,0.482,0,0.003,0.012,0,0.146,0.075,0.069,0.03,0,0.039,0,0,0.001
7748,3637,0,330,0,50,11,11.759,1.149,0,0.398,0.001,0.002,0.009,0,0.13,0.079,0.074,0.026,0,0.038,0,0.001,0.001
6551,3050,0,184,0,47,11,12.238,5.133,0,0.435,0.001,0.003,0.01,0,0.138,0.085,0.081,0.025,0,0.045,0,0.001,0.001
4649,1887,0.001,82,0,35,9,9.236,0.473,0,0.334,0.001,0.004,0.013,0,0.178,0.108,0.104,0.029,0,0.077,0.002,0.002,0.004
9011,4418,0,770,0,247,15,24.262,32.557,0,0.238,0,0.004,0.011,0,0.128,0.052,0.048,0.023,0,0.055,0,0,0.001
8485,4194,0,390,0,48,13,13.507,5.099,0,0.429,0,0.002,0.009,0,0.152,0.074,0.07,0.023,0,0.057,0,0,0.001
9570,4582,0,785,0,78,15,16.612,8.785,0,0.151,0,0.002,0.008,0,0.131,0.055,0.051,0.022,0,0.053,0,0,0.001
1185,622,0.003,88,0,29,11,11.262,4.04,0,0.236,0.005,0.012,0.022,0,0.137,0.078,0.07,0.028,0,0.057,0.006,0.006,0.004
88,117,0.006,111,0,42,8,11.531,10.368,0,0.033,0,0.008,0.011,0,0.038,0.012,0.01,0.008,0,0.043,0.017,0.012,0.009
9156,4114,0,222,0,47,11,12.108,4.77,0,0.355,0,0.002,0.009,0,0.134,0.086,0.082,0.022,0,0.052,0,0.001,0.001
7514,3789,0,320,0,43,13,13.8,5.107,0,0.44,0,0.003,0.01,0,0.152,0.072,0.069,0.022,0,0.064,0,0.001,0.001
8891,4010,0,301,0,41,10,11.19,4.402,0,0.519,0,0.002,0.01,0,0.175,0.092,0.087,0.028,0,0.06,0,0.001,0.001
9028,4427,0,772,0,247,15,24.232,32.531,0,0.237,0,0.004,0.011,0,0.129,0.052,0.048,0.023,0,0.054,0,0,0.001
8473,3875,0,237,0,48,12,12.657,5.375,0,0.37,0.001,0.002,0.008,0,0.137,0.084,0.079,0.025,0,0.038,0,0.001,0.001
6948,2846,0,136,0,221,9,21.029,38.007,0,0.42,0.001,0.006,0.019,0,0.173,0.108,0.096,0.04,0,0.072,0.001,0.001,0.002
6785,3210,0,231,0,46,12,13.337,5.571,0,0.392,0.001,0.003,0.01,0,0.132,0.078,0.074,0.026,0,0.041,0,0.001,0.001
6373,3355,0,810,0,61,17,18.425,8.991,0,0.135,0,0.003,0.009,0,0.122,0.042,0.039,0.018,0,0.072,0,0.001,0.001
11117,5250,0,1054,0,124,14,16.803,11.006,0,0.209,0,0.002,0.007,0,0.133,0.056,0.051,0.025,0,0.046,0,0,0.001
41,57,0.012,57,0,5,0,0.503,0.461,0,0.003,0,0,0.001,0,0.113,0.017,0.014,0.02,0,0.107,0.017,0.025,0.024
3876,1603,0.001,118,0,34,10,9.992,3.693,0,0.597,0.002,0.005,0.017,0,0.169,0.1,0.095,0.029,0,0.065,0.002,0.003,0.003
